"","2011","2012","2013","2014","2015","2016","2017","2018"
"Alpen Park",56,358,983,2089,3090,3562,1672,820
"Dreamland Museu de Cera",21,423,1292,3459,8839,9750,4681,2129
"Fragram - Museu do Perfume",11,122,228,685,1092,1355,729,249
"GramadoZoo",70,564,1576,2842,3981,3510,1961,1054
"Harley Motor Show",29,611,2011,5023,8340,8572,3559,1869
"Igreja Matriz São Pedro Apóstolo",67,548,2152,5842,12463,13253,6686,4222
"Lago Negro",132,1483,4708,10354,20490,23714,12572,7842
"Mini Mundo",117,1469,4372,9895,19190,19674,9593,6184
"Mirante do Belvedere",30,228,921,2253,3440,3157,1335,398
"Mundo Encantado",18,110,272,628,1441,1135,529,372
"Museu do Automóvel - Hollywood Dream Cars",58,719,2250,4923,10274,9059,3655,1707
"O Reino do Chocolate",29,169,629,1816,3606,3922,1914,842
"Parque Gaúcho",8,60,581,1022,1942,1403,885,491
"Pórtico via Nova Petrópolis",33,281,1101,3348,6990,7293,3246,1615
"Pórtico Via Taquara",38,166,559,1961,4735,3881,1745,764
"Praça Major Nicoletti",41,147,723,1983,3399,2642,1197,530
"Rotula das Bandeiras",14,90,208,978,3211,3449,1192,235
"Casa do Colono",,118,836,2568,5330,5220,2419,1431
"Centro Municipal de Cultura",,11,,125,342,210,46,32
"Le Jardin Parque de Lavanda",,57,628,2011,4706,6445,4005,2774
"Museu Gramado - Minerais & Pedras Preciosas",,46,428,1371,2399,1638,609,293
"Parque do Pinheiro Grosso",,37,75,213,380,415,48,18
"Prefeitura Municipal de Gramado",,80,493,1510,2218,1442,555,214
"Rua Coberta",,265,904,2521,8154,16520,10375,6988
"A Mina",,,230,623,1430,2349,1209,774
"Casa Centenária",,,54,143,629,701,202,88
"Ervateira Marcon - Natural de Gramado",,,40,165,397,601,106,76
"Fonte do Amor Eterno",,,40,2168,7795,8588,4811,2420
"Memorial Casa Italiana",,,18,189,554,460,257,118
"Museu de Artes Dr. Carlos Nelz",,,15,111,26,,,
"Museu do Sapato",,,13,31,115,33,23,
"Museu Fioreze",,,54,161,328,202,40,43
"Parque Temático Mundo Gelado",,,441,1004,1729,1478,754,441
"Praça das Etnias",,,71,916,5539,5125,2710,1434
"Snowland",,,702,7003,13672,15214,6409,4253
"A Rua Torta de Gramado",,,,9,2089,4483,2893,1971
"Casa das Artes",,,,45,167,61,24,
"Cine -Teatro Elizabeth Rosenfeld",,,,141,162,132,32,37
"Mundo de Chocolate",,,,99,3096,5454,2537,1402
"Museu Naval",,,,114,140,103,61,
"Vinícola Ravanello",,,,272,1018,1026,481,325
"Aldeia do Papai Noel",,,,,2514,6442,3448,1639
"Central de Informações Turísticas de Gramado",,,,,103,275,358,183
"Gram Bier",,,,,11,536,314,217
"Museu do Festival de Cinema de Gramado",,,,,18,154,506,283
"Praça da Criança",,,,,128,62,78,39
"Caro Watson Escape Game",,,,,,10,211,150
"Galleria D'arte Giovanni Bocchi",,,,,,16,,
"Vinicola Masotti",,,,,,38,77,76
"Capela Cristo Ressuscitado",,,,,,,16,
"Casa Seganfredo",,,,,,,85,180
"Chave-Mestra Escape Game Gramado",,,,,,,253,376
"Igreja Metodista",,,,,,,16,14
"Parque do Palácio",,,,,,,15,
"Caminho das Estrelas",,,,,,,,59
"Cascata Véu de Noiva",,,,,,,,22
"Estátua do Maestro Eleazar de Carvalho",,,,,,,,28
"Praça do Moínho",,,,,,,,27
"Trem Maria Fumaça",,,,,,,,20
